Year,Crime_Type,Count
2019,Stolen Property Offenses,6
2019,Theft From Building,17
2019,Theft From Coin-Operated Machine or Device,1
2019,Theft From Motor Vehicle,29
2019,Theft of Motor Vehicle Parts or Accessories,7
2019,Weapon Law Violations,23
2020,Aggravated Assault,1120
2020,All Other Larceny,243
2020,Animal Cruelty,4
2020,Arson,69
2020,Burglary/Breaking & Entering,148
2020,Counterfeiting/Forgery,18
2020,Credit Card/Automated Teller Machine Fraud,15
2020,Destruction/Damage/Vandalism of Property,2501
2020,Drug Equipment Violations,56
2020,Drug/Narcotic Violations,120
2020,Extortion/Blackmail,2
2020,False Pretenses/Swindle/Confidence Game,37
2020,Fondling,18
2020,Hacking/Computer Invasion,5
2020,Identity Theft,12
2020,Impersonation,16
2020,Intimidation,3022
2020,Kidnapping/Abduction,7
2020,Motor Vehicle Theft,44
2020,Murder and Nonnegligent Manslaughter,20
2020,Negligent Manslaughter,2
2020,Not Specified,30
2020,Pocket-picking,1
2020,Pornography/Obscene Material,18
2020,Prostitution,1
2020,Purse-snatching,1
2020,Rape,17
2020,Robbery,131
2020,Sexual Assault With An Object,4
2020,Shoplifting,65
2020,Simple Assault,1888
2020,Sodomy,5
2020,Statutory Rape,4
2020,Stolen Property Offenses,10
2020,Theft From Building,28
2020,Theft From Motor Vehicle,43
2020,Theft of Motor Vehicle Parts or Accessories,13
2020,Weapon Law Violations,51
2020,Welfare Fraud,4
2020,Wire Fraud,2
